SourceFile,FileName,GPSLatitude,GPSLongitude,GPSAltitude,GPSDateTime
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/00F109807EC246FA81B7BA27FD57059C.jpg,00F109807EC246FA81B7BA27FD57059C.jpg,"32 deg 51' 7.22"" N","96 deg 45' 37.55"" W",181.3 m Above Sea Level,2014:03:15 12:29:56Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/02748A543E934AC5BA987192E819CF87.jpg,02748A543E934AC5BA987192E819CF87.jpg,"40 deg 21' 25.20"" N","111 deg 45' 11.40"" W",,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/046033591E624860B52BC2D305991D70.jpg,046033591E624860B52BC2D305991D70.jpg,"32 deg 51' 7.30"" N","96 deg 45' 37.52"" W",184.3 m Above Sea Level,2013:07:18 02:11:43Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/04ECD0EBE01147538E8457853D602488.jpg,04ECD0EBE01147538E8457853D602488.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/05616CB0DA7C45139B87494961695334.jpg,05616CB0DA7C45139B87494961695334.jpg,"34 deg 14' 43.45"" N","93 deg 9' 10.14"" W",134.3 m Above Sea Level,2014:09:01 17:12:27Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/06595547B43A4651B560F894A68E5084.jpg,06595547B43A4651B560F894A68E5084.jpg,"37 deg 32' 6.91"" N","77 deg 31' 39.51"" W",60.6 m Above Sea Level,2014:07:21 17:08:03Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/06D02AE1CC5F47B486263E1A48477B72.jpg,06D02AE1CC5F47B486263E1A48477B72.jpg,"32 deg 45' 0.45"" N","117 deg 11' 0.99"" W",76.9 m Above Sea Level,2014:05:22 20:24:40Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/0710359039BC46938625D8229D591B86.jpg,0710359039BC46938625D8229D591B86.jpg,"32 deg 47' 17.16"" N","96 deg 47' 50.12"" W",143.9 m Above Sea Level,2013:09:28 22:57:42Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/0786987FDA13426098DEACAEA7B1F2FB.jpg,0786987FDA13426098DEACAEA7B1F2FB.jpg,"40 deg 14' 35.40"" N","111 deg 38' 31.20"" W",,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/07A1365205AE4A1AAB6C5C3FED0DE7B9.jpg,07A1365205AE4A1AAB6C5C3FED0DE7B9.jpg,"32 deg 45' 6.36"" N","97 deg 4' 55.83"" W",168.7 m Above Sea Level,2014:06:25 00:41:31Z
